year,state,democrat_votes,republican_votes,office
1976,Alabama,659170,504070,democrat
1976,Alaska,44058,71555,republican
1976,Arizona,295602,418642,republican
1976,Arkansas,498604,267903,democrat
1976,California,3742284,3882244,republican
1976,Colorado,460801,584278,republican
1976,Connecticut,647895,719261,republican
1976,Delaware,122461,109780,democrat
1976,District of Columbia,137818,27873,democrat
1976,Florida,1636000,1469531,democrat
1976,Georgia,979409,483743,democrat
1976,Hawaii,147375,140003,democrat
1976,Idaho,126549,204151,republican
1976,Illinois,2271295,2364269,republican
1976,Indiana,1014714,1183958,republican
1976,Iowa,619931,632864,republican
1976,Kansas,430421,502752,republican
1976,Kentucky,615717,531852,democrat
1976,Louisiana,661365,587446,democrat
1976,Maine,232279,236320,republican
1976,Maryland,759612,672661,democrat
1976,Massachusetts,1429475,1030276,democrat
1976,Michigan,1696714,1893742,republican
1976,Minnesota,1070440,819395,democrat
1976,Mississippi,381329,366846,democrat
1976,Missouri,998387,927443,democrat
1976,Montana,149259,173703,republican
1976,Nebraska,233293,359219,republican
1976,Nevada,92479,101273,republican
1976,New Hampshire,147645,185935,republican
1976,New Jersey,1444653,1509688,republican
1976,New Mexico,201148,211419,republican
1976,New York,3244165,2825913,democrat
1976,North Carolina,927365,741960,democrat
1976,North Dakota,136078,153684,republican
1976,Ohio,2009959,2000626,democrat
1976,Oklahoma,532442,545708,republican
1976,Oregon,490407,492120,republican
1976,Pennsylvania,2328677,2205604,democrat
1976,Rhode Island,227636,181249,democrat
1976,South Carolina,450807,346149,democrat
1976,South Dakota,147068,151505,republican
1976,Tennessee,825879,633969,democrat
1976,Texas,2082319,1953300,democrat
1976,Utah,182110,337908,republican
1976,Vermont,77798,100387,republican
1976,Virginia,813896,836554,republican
1976,Washington,717323,777732,republican
1976,West Virginia,435864,314726,democrat
1976,Wisconsin,1040232,1004987,democrat
1976,Wyoming,62239,92717,republican
1980,Alabama,636730,654192,republican
1980,Alaska,41842,86112,republican
1980,Arizona,246843,529688,republican
1980,Arkansas,398041,403164,republican
1980,California,3082943,4522994,republican
1980,Colorado,368009,652264,republican
1980,Connecticut,541732,677210,republican
1980,Delaware,105754,111252,republican
1980,District of Columbia,130231,23313,democrat
1980,Florida,1419475,2046951,republican
1980,Georgia,890955,654168,democrat
1980,Hawaii,135879,130112,democrat
1980,Idaho,110192,290699,republican
1980,Illinois,1981413,2358049,republican
1980,Indiana,844197,1255656,republican
1980,Iowa,508672,676026,republican
1980,Kansas,326150,566812,republican
1980,Kentucky,617417,635274,republican
1980,Louisiana,708453,792853,republican
1980,Maine,220974,238522,republican
1980,Maryland,726161,680606,democrat
1980,Massachusetts,1053802,1057631,republican
1980,Michigan,1661532,1915225,republican
1980,Minnesota,954173,873268,democrat
1980,Mississippi,429281,441089,republican
1980,Missouri,931182,1074181,republican
1980,Montana,118032,206814,republican
1980,Nebraska,166424,419214,republican
1980,Nevada,66666,155017,republican
1980,New Hampshire,108864,221705,republican
1980,New Jersey,1147364,1546557,republican
1980,New Mexico,167826,250779,republican
1980,New York,2728372,2637700,democrat
1980,North Carolina,875635,915018,republican
1980,North Dakota,79189,193695,republican
1980,Ohio,1752414,2206545,republican
1980,Oklahoma,402026,695570,republican
1980,Oregon,456890,571044,republican
1980,Pennsylvania,1937540,2261872,republican
1980,Rhode Island,198342,154793,democrat
1980,South Carolina,428220,439277,republican
1980,South Dakota,103855,198343,republican
1980,Tennessee,783051,787761,republican
1980,Texas,1881147,2510705,republican
1980,Utah,124266,439687,republican
1980,Vermont,81952,94628,republican
1980,Virginia,752174,989609,republican
1980,Washington,650193,865244,republican
1980,West Virginia,367462,334206,democrat
1980,Wisconsin,981584,1088845,republican
1980,Wyoming,49427,110700,republican
1984,Alabama,551899,872849,republican
1984,Alaska,62007,138377,republican
1984,Arizona,333854,681416,republican
1984,Arkansas,338646,534774,republican
1984,California,3922519,5467009,republican
1984,Colorado,454975,821817,republican
1984,Connecticut,569597,890877,republican
1984,Delaware,101656,152190,republican
1984,District of Columbia,180408,29009,democrat
1984,Florida,1448816,2730350,republican
1984,Georgia,706628,1068722,republican
1984,Hawaii,147154,185050,republican
1984,Idaho,108510,297523,republican
1984,Illinois,2086499,2707103,republican
1984,Indiana,841481,1377230,republican
1984,Iowa,605620,703088,republican
1984,Kansas,333149,677296,republican
1984,Kentucky,539539,821702,republican
1984,Louisiana,651586,1037299,republican
1984,Maine,214515,336500,republican
1984,Maryland,787935,879918,republican
1984,Massachusetts,1239606,1310936,republican
1984,Michigan,1529638,2251571,republican
1984,Minnesota,1036364,1032603,democrat
1984,Mississippi,352192,582377,republican
1984,Missouri,848583,1274188,republican
1984,Montana,146742,232450,republican
1984,Nebraska,187866,460054,republican
1984,Nevada,91655,188770,republican
1984,New Hampshire,120347,267050,republican
1984,New Jersey,1261323,1933630,republican
1984,New Mexico,201769,307101,republican
